date_id,date,year,quarter,month_num,month_name,year_month,week_num,day_of_week_num,day_of_week_name,is_weekend
20170513,2017-05-13,2017,2,5,May,2017-05,19,6,Saturday,1
20170514,2017-05-14,2017,2,5,May,2017-05,19,7,Sunday,1
20170515,2017-05-15,2017,2,5,May,2017-05,20,1,Monday,0
20170516,2017-05-16,2017,2,5,May,2017-05,20,2,Tuesday,0
20170517,2017-05-17,2017,2,5,May,2017-05,20,3,Wednesday,0
20170518,2017-05-18,2017,2,5,May,2017-05,20,4,Thursday,0
20170519,2017-05-19,2017,2,5,May,2017-05,20,5,Friday,0
20170520,2017-05-20,2017,2,5,May,2017-05,20,6,Saturday,1
20170521,2017-05-21,2017,2,5,May,2017-05,20,7,Sunday,1
20170522,2017-05-22,2017,2,5,May,2017-05,21,1,Monday,0
20170523,2017-05-23,2017,2,5,May,2017-05,21,2,Tuesday,0
20170524,2017-05-24,2017,2,5,May,2017-05,21,3,Wednesday,0
20170525,2017-05-25,2017,2,5,May,2017-05,21,4,Thursday,0
20170526,2017-05-26,2017,2,5,May,2017-05,21,5,Friday,0
20170527,2017-05-27,2017,2,5,May,2017-05,21,6,Saturday,1
20170528,2017-05-28,2017,2,5,May,2017-05,21,7,Sunday,1
20170529,2017-05-29,2017,2,5,May,2017-05,22,1,Monday,0
20170530,2017-05-30,2017,2,5,May,2017-05,22,2,Tuesday,0
20170531,2017-05-31,2017,2,5,May,2017-05,22,3,Wednesday,0
20170601,2017-06-01,2017,2,6,June,2017-06,22,4,Thursday,0
20170602,2017-06-02,2017,2,6,June,2017-06,22,5,Friday,0
20170603,2017-06-03,2017,2,6,June,2017-06,22,6,Saturday,1
20170604,2017-06-04,2017,2,6,June,2017-06,22,7,Sunday,1
20170605,2017-06-05,2017,2,6,June,2017-06,23,1,Monday,0
20170606,2017-06-06,2017,2,6,June,2017-06,23,2,Tuesday,0
20170607,2017-06-07,2017,2,6,June,2017-06,23,3,Wednesday,0
20170608,2017-06-08,2017,2,6,June,2017-06,23,4,Thursday,0
20170609,2017-06-09,2017,2,6,June,2017-06,23,5,Friday,0
20170610,2017-06-10,2017,2,6,June,2017-06,23,6,Saturday,1
20170611,2017-06-11,2017,2,6,June,2017-06,23,7,Sunday,1
20170612,2017-06-12,2017,2,6,June,2017-06,24,1,Monday,0
20170613,2017-06-13,2017,2,6,June,2017-06,24,2,Tuesday,0
20170614,2017-06-14,2017,2,6,June,2017-06,24,3,Wednesday,0
20170615,2017-06-15,2017,2,6,June,2017-06,24,4,Thursday,0
20170616,2017-06-16,2017,2,6,June,2017-06,24,5,Friday,0
20170617,2017-06-17,2017,2,6,June,2017-06,24,6,Saturday,1
20170618,2017-06-18,2017,2,6,June,2017-06,24,7,Sunday,1
20170619,2017-06-19,2017,2,6,June,2017-06,25,1,Monday,0
20170620,2017-06-20,2017,2,6,June,2017-06,25,2,Tuesday,0
20170621,2017-06-21,2017,2,6,June,2017-06,25,3,Wednesday,0
20170622,2017-06-22,2017,2,6,June,2017-06,25,4,Thursday,0
20170623,2017-06-23,2017,2,6,June,2017-06,25,5,Friday,0
20170624,2017-06-24,2017,2,6,June,2017-06,25,6,Saturday,1
20170625,2017-06-25,2017,2,6,June,2017-06,25,7,Sunday,1
20170626,2017-06-26,2017,2,6,June,2017-06,26,1,Monday,0
20170627,2017-06-27,2017,2,6,June,2017-06,26,2,Tuesday,0
20170628,2017-06-28,2017,2,6,June,2017-06,26,3,Wednesday,0
20170629,2017-06-29,2017,2,6,June,2017-06,26,4,Thursday,0
20170630,2017-06-30,2017,2,6,June,2017-06,26,5,Friday,0
20170701,2017-07-01,2017,3,7,July,2017-07,26,6,Saturday,1
20170702,2017-07-02,2017,3,7,July,2017-07,26,7,Sunday,1
20170703,2017-07-03,2017,3,7,July,2017-07,27,1,Monday,0
20170704,2017-07-04,2017,3,7,July,2017-07,27,2,Tuesday,0
20170705,2017-07-05,2017,3,7,July,2017-07,27,3,Wednesday,0
20170706,2017-07-06,2017,3,7,July,2017-07,27,4,Thursday,0
20170707,2017-07-07,2017,3,7,July,2017-07,27,5,Friday,0
20170708,2017-07-08,2017,3,7,July,2017-07,27,6,Saturday,1
20170709,2017-07-09,2017,3,7,July,2017-07,27,7,Sunday,1
20170710,2017-07-10,2017,3,7,July,2017-07,28,1,Monday,0
20170711,2017-07-11,2017,3,7,July,2017-07,28,2,Tuesday,0
20170712,2017-07-12,2017,3,7,July,2017-07,28,3,Wednesday,0
20170713,2017-07-13,2017,3,7,July,2017-07,28,4,Thursday,0
20170714,2017-07-14,2017,3,7,July,2017-07,28,5,Friday,0
20170715,2017-07-15,2017,3,7,July,2017-07,28,6,Saturday,1
20170716,2017-07-16,2017,3,7,July,2017-07,28,7,Sunday,1
20170717,2017-07-17,2017,3,7,July,2017-07,29,1,Monday,0
20170718,2017-07-18,2017,3,7,July,2017-07,29,2,Tuesday,0
20170719,2017-07-19,2017,3,7,July,2017-07,29,3,Wednesday,0
20170720,2017-07-20,2017,3,7,July,2017-07,29,4,Thursday,0
20170721,2017-07-21,2017,3,7,July,2017-07,29,5,Friday,0
20170722,2017-07-22,2017,3,7,July,2017-07,29,6,Saturday,1
20170723,2017-07-23,2017,3,7,July,2017-07,29,7,Sunday,1
20170724,2017-07-24,2017,3,7,July,2017-07,30,1,Monday,0
20170725,2017-07-25,2017,3,7,July,2017-07,30,2,Tuesday,0
20170726,2017-07-26,2017,3,7,July,2017-07,30,3,Wednesday,0
20170727,2017-07-27,2017,3,7,July,2017-07,30,4,Thursday,0
20170728,2017-07-28,2017,3,7,July,2017-07,30,5,Friday,0
20170729,2017-07-29,2017,3,7,July,2017-07,30,6,Saturday,1
20170730,2017-07-30,2017,3,7,July,2017-07,30,7,Sunday,1
20170731,2017-07-31,2017,3,7,July,2017-07,31,1,Monday,0
20170801,2017-08-01,2017,3,8,August,2017-08,31,2,Tuesday,0
20170802,2017-08-02,2017,3,8,August,2017-08,31,3,Wednesday,0
20170803,2017-08-03,2017,3,8,August,2017-08,31,4,Thursday,0
20170804,2017-08-04,2017,3,8,August,2017-08,31,5,Friday,0
20170805,2017-08-05,2017,3,8,August,2017-08,31,6,Saturday,1
20170806,2017-08-06,2017,3,8,August,2017-08,31,7,Sunday,1
20170807,2017-08-07,2017,3,8,August,2017-08,32,1,Monday,0
20170808,2017-08-08,2017,3,8,August,2017-08,32,2,Tuesday,0
20170809,2017-08-09,2017,3,8,August,2017-08,32,3,Wednesday,0
20170810,2017-08-10,2017,3,8,August,2017-08,32,4,Thursday,0
20170811,2017-08-11,2017,3,8,August,2017-08,32,5,Friday,0
20170812,2017-08-12,2017,3,8,August,2017-08,32,6,Saturday,1
20170813,2017-08-13,2017,3,8,August,2017-08,32,7,Sunday,1
20170814,2017-08-14,2017,3,8,August,2017-08,33,1,Monday,0
20170815,2017-08-15,2017,3,8,August,2017-08,33,2,Tuesday,0
20170816,2017-08-16,2017,3,8,August,2017-08,33,3,Wednesday,0
20170817,2017-08-17,2017,3,8,August,2017-08,33,4,Thursday,0
20170818,2017-08-18,2017,3,8,August,2017-08,33,5,Friday,0
20170819,2017-08-19,2017,3,8,August,2017-08,33,6,Saturday,1
20170820,2017-08-20,2017,3,8,August,2017-08,33,7,Sunday,1
20170821,2017-08-21,2017,3,8,August,2017-08,34,1,Monday,0
20170822,2017-08-22,2017,3,8,August,2017-08,34,2,Tuesday,0
20170823,2017-08-23,2017,3,8,August,2017-08,34,3,Wednesday,0
20170824,2017-08-24,2017,3,8,August,2017-08,34,4,Thursday,0
20170825,2017-08-25,2017,3,8,August,2017-08,34,5,Friday,0
